"","cytoscapeNodes4.shared.name","match.cytoscapeNodes4.shared.name..rownames.GOOutput.."
"1","REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA",1020
"2","REACTOME_GLYCOGEN_METABOLISM",1355
"3","REACTOME_HATS_ACETYLATE_HISTONES",557
"4","REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION",1099
"5","REACTOME_FATTY_ACID_METABOLISM",1351
"6","REACTOME_DAG_AND_IP3_SIGNALING",138
"7","REACTOME_CDC42_GTPASE_CYCLE",1380
"8","REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH",606
"9","KEGG_PEROXISOME",1728
"10","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION",1168
"11","REACTOME_SPERM_MOTILITY_AND_TAXES",86
"12","KEGG_PURINE_METABOLISM",1664
"13","REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS",1216
"14","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES",999
"15","REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BOTD",862
"16","REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR",755
"17","REACTOME_ERK_MAPK_TARGETS",372
"18","REACTOME_CLEC7A_DECTIN_1_SIGNALING",904
"19","KEGG_HUNTINGTONS_DISEASE",1778
"20","REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",82
"21","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",925
"22","REACTOME_UCH_PROTEINASES",1010
"23","REACTOME_METABOLISM_OF_STEROID_HORMONES",348
"24","REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",363
"25","REACTOME_INTEGRATION_OF_ENERGY_METABOLISM",186
"26","REACTOME_SULFUR_AMINO_ACID_METABOLISM",168
"27","REACTOME_NEDDYLATION",1317
"28","REACTOME_SUPPRESSION_OF_PHAGOSOMAL_MATURATION",1506
"29","REACTOME_TNF_SIGNALING",1200
"30","REACTOME_CELLULAR_RESPONSES_TO_STIMULI",1323
"31","REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT",410
"32","REACTOME_HIV_INFECTION",176
"33","REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX",35
"34","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",33
"35","REACTOME_TRYPTOPHAN_CATABOLISM",1141
"36","REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP",508
"37","REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING",80
"38","KEGG_SULFUR_METABOLISM",1697
"39","KEGG_CALCIUM_SIGNALING_PATHWAY",1717
"40","REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS",826
"41","REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS",928
"42","REACTOME_CHROMATIN_MODIFYING_ENZYMES",564
"43","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",1373
"44","REACTOME_RAS_PROCESSING",1514
"45","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1",1281
"46","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2",1280
"47","REACTOME_MEIOTIC_RECOMBINATION",1443
"48","REACTOME_SIGNALING_BY_GPCR",599
"49","REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION",650
"50","REACTOME_SIGNALING_BY_FGFR1",965
"51","REACTOME_CA_DEPENDENT_EVENTS",26
"52","REACTOME_SIGNALING_BY_FGFR2",966
"53","REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM",353
"54","REACTOME_HDMS_DEMETHYLATE_HISTONES",556
"55","REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",223
"56","REACTOME_GABA_B_RECEPTOR_ACTIVATION",1637
"57","REACTOME_KERATINIZATION",1081
"58","REACTOME_DISEASES_OF_MISMATCH_REPAIR_MMR",884
"59","REACTOME_DNA_REPLICATION_PRE_INITIATION",1109
"60","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",1721
"61","REACTOME_ION_CHANNEL_TRANSPORT",1651
"62","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",1153
